"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"5079","ESTEM HIGH CHARTER","Arkansas",3527000,1,500398,"PULASKI COUNTY",32,15.25,488
"5080","ESTEM MIDDLE CHARTER","Arkansas",3622000,1,500396,"PULASKI COUNTY",26,19.35,503
"5081","ESTES PARK SCHOOL DISTRICT R-3","Colorado",13502000,4,803810,"LARIMER COUNTY",82.69,14.21,1175
"5082","ESTHERVILLE LINCOLN CENTRAL COM SCH DIST","Iowa",17425000,4,1911070,"EMMET COUNTY",104.25,14,1460
"5083","ESTILL COUNTY","Kentucky",25650000,5,2101760,"ESTILL COUNTY",153.13,16.82,2575
"5084","ESWOOD CCSD 269","Illinois",1331000,1,1714410,"OGLE COUNTY",10,9,90
"5085","ETHAN SCHOOL DISTRICT 17-1","South Dakota",2002000,3,4622500,"DAVISON COUNTY",20.63,11.97,247
"5086","ETHICAL COMMUNITY CHARTER SCHOOL (THE)","New York",NA,NA,3600951,"KINGS COUNTY",16.31,12.57,205
"5087","ETIWANDA ELEMENTARY","California",112150000,17,612960,"SAN BERNARDINO COUNTY",497.33,26.2,13031
"5088","ETOILE ISD","Texas",1738000,2,4818660,"NACOGDOCHES COUNTY",13,10.77,140
"5089","ETOWAH","Tennessee",3157000,1,4701140,"MCMINN COUNTY",23,15.39,354
"5090","ETOWAH ACADEMY","Alabama",NA,1,100174,"ETOWAH COUNTY",0,NA,NA
"5091","ETOWAH COUNTY","Alabama",77129000,23,101380,"ETOWAH COUNTY",602.75,15.4,9284
"5092","EUCLID CITY","Ohio",101360000,9,3904395,"CUYAHOGA COUNTY",362.58,15.82,5737
"5093","EUDORA","Kansas",18342000,3,2006090,"DOUGLAS COUNTY",134.1,11.66,1564
"5094","EUFAULA","Oklahoma",12263000,3,4011160,"MCINTOSH COUNTY",85.3,14.77,1260
"5095","EUFAULA CITY","Alabama",23972000,6,101410,"BARBOUR COUNTY",169,16.33,2759
"5096","EUGENE SD 4J","Oregon",180188000,36,4104740,"LANE COUNTY",734.41,23.65,17368
"5097","EUGENIO MARIA DE HOSTOS CHARTER SCHOOL","New York",NA,1,3600026,"MONROE COUNTY",25.7,15.29,393
"5098","EUGENIO MARIA DE HOSTOS CS","Pennsylvania",5894000,1,4200043,"PHILADELPHIA COUNTY",29,15.83,459
"5099","EULA ISD","Texas",4205000,3,4818690,"CALLAHAN COUNTY",36.78,10.11,372
"5100","EUNICE MUNICIPAL SCHOOLS","New Mexico",12755000,3,3500960,"LEA COUNTY",42.22,14.64,618
"5101","EUREKA","Kansas",8589000,2,2006120,"GREENWOOD COUNTY",60.4,11.03,666
"5102","EUREKA CITY SCHOOLS","California",42071000,7,600052,"HUMBOLDT COUNTY",182.65,21.03,3841
"5103","EUREKA COUNTY SCHOOL DISTRICT","Nevada",19234000,4,3200180,"EUREKA COUNTY",27.25,9.28,253
"5104","EUREKA CUD 140","Illinois",14664000,5,1714430,"WOODFORD COUNTY",103.9,15.35,1595
"5105","EUREKA ELEM","Montana",5701000,2,3010080,"LINCOLN COUNTY",32.2,14.72,474
"5106","EUREKA SCHOOL DISTRICT 44-1","South Dakota",2281000,3,4622560,"MCPHERSON COUNTY",20.37,7.51,153
"5107","EUREKA SPRINGS SCHOOL DISTRICT","Arkansas",9348000,3,505970,"CARROLL COUNTY",55.58,11.28,627
"5108","EUREKA UNION","California",27405000,7,613080,"PLACER COUNTY",154.27,21.88,3375
"5109","EUSTACE ISD","Texas",13642000,4,4818720,"HENDERSON COUNTY",106.36,13.4,1425
"5110","EUSTIS-FARNAM PUBLIC SCHOOLS","Nebraska",3417000,2,3100111,"FRONTIER COUNTY",22.73,8.62,196
"5111","EVADALE ISD","Texas",6155000,4,4818750,"JASPER COUNTY",37.78,12.1,457
"5112","EVALINE SCHOOL DISTRICT","Washington",678000,1,5302640,"LEWIS COUNTY",2,16,32
"5113","EVANGELINE PARISH","Louisiana",63798000,12,2200630,"EVANGELINE PARISH",422.15,14.3,6035
"5114","EVANS COUNTY","Georgia",20683000,3,1302070,"EVANS COUNTY",125.4,14.55,1825
"5115","EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE)","New York",51039000,5,3616560,"ERIE COUNTY",228.84,11.48,2628
"5116","EVANSTON CCSD 65","Illinois",128749000,17,1714460,"COOK COUNTY",593.8,12.24,7271
"5117","EVANSTON DISTS 65/202 JNT AGR","Illinois",3959000,1,1700246,"COOK COUNTY",14.5,NA,NA
"5118","EVANSTON TWP HSD 202","Illinois",81487000,1,1714490,"COOK COUNTY",214.5,14.65,3142
"5119","EVANSVILLE COMMUNITY SCHOOL DISTRICT","Wisconsin",22926000,4,5504440,"ROCK COUNTY",131.16,13.53,1775
"5120","EVANSVILLE PUBLIC SCHOOL DISTRICT","Minnesota",1779000,2,2711610,"DOUGLAS COUNTY",16.27,9.34,152
"5121","EVANSVILLE VANDERBURGH SCH CORP","Indiana",264367000,40,1803450,"VANDERBURGH COUNTY",1551.49,14.69,22799
"5122","EVANT ISD","Texas",2309000,2,4818780,"CORYELL COUNTY",21.62,10.36,224
"5123","EVART PUBLIC SCHOOLS","Michigan",9593000,4,2613560,"OSCEOLA COUNTY",54.6,17.31,945
"5124","EVELETH-GILBERT SCHOOL DISTRICT","Minnesota",12622000,4,2700021,"ST. LOUIS COUNTY",73.52,16.02,1178
"5125","EVEREST HIGH SCHOOL","Ohio",991000,1,3901378,"FRANKLIN COUNTY",2,51.5,103
"5126","EVERETT","Massachusetts",100128000,7,2504770,"MIDDLESEX COUNTY",464.06,13.73,6371
"5127","EVERETT AREA SD","Pennsylvania",18408000,5,4209360,"BEDFORD COUNTY",87.08,16.25,1415
"5128","EVERETT COMMUNITY COLLEGE","Washington",NA,1,5300314,"SNOHOMISH COUNTY",0,NA,0
"5129","EVERETT SCHOOL DISTRICT","Washington",232480000,33,5302670,"SNOHOMISH COUNTY",875.54,21.45,18776
"5130","EVERGREEN CHARTER SCHOOL","New York",NA,1,3600988,"NASSAU COUNTY",13.5,14.52,196
"5131","EVERGREEN COMMUNITY CHARTER","North Carolina",4040000,1,3700078,"BUNCOMBE COUNTY",27.5,14.84,408
"5132","EVERGREEN COMMUNITY CS","Pennsylvania",1318000,1,4200749,"MONROE COUNTY",10.07,8.64,87
"5133","EVERGREEN ELEM","Montana",8318000,3,3010920,"FLATHEAD COUNTY",49.02,15.77,773
"5134","EVERGREEN ELEMENTARY","California",111071000,18,613140,"SANTA CLARA COUNTY",542.39,24.62,13351
"5135","EVERGREEN LOCAL","Ohio",15362000,3,3904705,"FULTON COUNTY",78.88,15.63,1233
"5136","EVERGREEN PARK CHSD 231","Illinois",17433000,1,1714580,"COOK COUNTY",54.27,16.18,878
"5137","EVERGREEN PARK ESD 124","Illinois",26070000,5,1714550,"COOK COUNTY",134.92,13.62,1838
"5138","EVERGREEN SCHOOL DISTRICT (CLARK)","Washington",265719000,37,5302700,"CLARK COUNTY",1413.53,18.63,26333
"5139","EVERGREEN SCHOOL DISTRICT (STEVENS)","Washington",425000,1,5302730,"STEVENS COUNTY",1.99,8.54,17
"5140","EVERGREEN UNION","California",8771000,4,613170,"TEHAMA COUNTY",45.5,20.79,946
"5141","EVERMAN ISD","Texas",48259000,10,4818810,"TARRANT COUNTY",339.78,15.72,5341
"5142","EVERTON R-III","Missouri",1767000,3,2911580,"DADE COUNTY",18.08,8.3,150
"5143","EVESHAM TOWNSHIP SCHOOL DISTRICT","New Jersey",81042000,9,3404890,"BURLINGTON COUNTY",365.5,12.93,4726
"5144","EVINS REGIONAL JUVENILE CENTER","Texas",NA,1,4800196,"HIDALGO COUNTY",0,NA,148
"5145","EVOLUTION ACADEMY CHARTER SCHOOL","Texas",4097000,1,4800236,"DALLAS COUNTY",17.6,27.61,486
"5146","EWEN-TROUT CREEK CONSOLIDATED SCHOOL DISTRICT","Michigan",3491000,1,2600014,"ONTONAGON COUNTY",14.7,16.46,242
"5147","EWING MARION KAUFFMAN SCHOOL","Missouri",3452000,1,2900597,"JACKSON COUNTY",7.97,12.92,103
"5148","EWING NORTHERN CCSD 115","Illinois",2343000,1,1714640,"FRANKLIN COUNTY",16,14.94,239
"5149","EWING PUBLIC SCHOOLS","Nebraska",2366000,2,3100020,"HOLT COUNTY",16.42,7.31,120
"5150","EWING TOWNSHIP PUBLIC SCHOOLS","New Jersey",73785000,5,3404920,"MERCER COUNTY",302.7,12.24,3704
"5151","EXC CHILDREN HAVE OPPORTUNITIES","Illinois",58778000,5,1701383,"COOK COUNTY",0,NA,NA
"5152","EXCALIBUR CHARTER SCHOOLS  INC.","Arizona",2410000,2,400235,"PINAL COUNTY",NA,NA,300
"5153","EXCEL ACADEMY","Texas",6866000,5,4800049,"HARRIS COUNTY",46.96,8.9,418
"5154","EXCEL ACADEMY CHARTER (DISTRICT)","Massachusetts",5126000,1,2500075,"SUFFOLK COUNTY",18.97,11.07,210
"5155","EXCEL ACADEMY CHARTER SCHOOL - BOSTON II (DISTRICT)","Massachusetts",NA,1,2500534,"SUFFOLK COUNTY",NA,NA,NA
"5156","EXCEL ACADEMY CHARTER SCHOOL - CHELSEA (DISTRICT)","Massachusetts",1237000,1,2500529,"SUFFOLK COUNTY",5.8,9.66,56
"5157","EXCEL ACADEMY PCS","District of Columbia",7156000,1,1100076,"DISTRICT OF COLUMBIA",47,8.64,406
"5158","EXCEL CENTER FOR ADULT LEARNERS","Indiana",5495000,1,1800093,"MARION COUNTY",27.54,29.99,826
"5159","EXCEL CHARTER ACADEMY","Michigan",10028000,2,2600093,"KENT COUNTY",61.82,19.3,1193
"5160","EXCEL INSTITUTE","Alabama",NA,1,100184,"ETOWAH COUNTY",0,NA,NA
"5161","EXCELL ACADEMY CHARTER","Minnesota",5438000,1,2700184,"HENNEPIN COUNTY",33.07,13.64,451
"5162","EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT","New York",NA,1,3600114,"KINGS COUNTY",45,11.13,501
"5163","EXCELLENCE GIRLS CHARTER SCHOOL","New York",NA,1,3601000,"KINGS COUNTY",28,11.11,311
"5164","EXCELSIOR ACADEMY","Utah",3511000,1,4900136,"TOOELE COUNTY",27.5,24.65,678
"5165","EXCELSIOR ISD","Texas",1333000,1,4818840,"SHELBY COUNTY",11,11.18,123
"5166","EXCELSIOR SPRINGS 40","Missouri",31744000,7,2911650,"CLAY COUNTY",213.25,14.25,3038
"5167","EXCELSIOR TOWNSHIP S/D #1","Michigan",424000,1,2613680,"KALKASKA COUNTY",3.27,14.98,49
"5168","EXETER R-VI","Missouri",3265000,2,2911670,"BARRY COUNTY",28.24,12.57,355
"5169","EXETER REGION COOP SCHOOL DISTRICT","New Hampshire",48890000,2,3300017,"ROCKINGHAM COUNTY",214.9,14.72,3164
"5170","EXETER SAU OFFICE","New Hampshire",NA,NA,3399916,"ROCKINGHAM COUNTY",0,NA,NA
"5171","EXETER SCHOOL DISTRICT","New Hampshire",14288000,2,3302970,"ROCKINGHAM COUNTY",80.1,13.01,1042
"5172","EXETER TOWNSHIP SD","Pennsylvania",63872000,6,4209480,"BERKS COUNTY",284,14.99,4257
"5173","EXETER UNION ELEMENTARY","California",15909000,4,613200,"TULARE COUNTY",NA,NA,1961
"5174","EXETER UNION HIGH","California",10762000,4,613230,"TULARE COUNTY",NA,NA,1103
"5175","EXETER-MILLIGAN PUBLIC SCHOOLS","Nebraska",4570000,3,3100133,"FILLMORE COUNTY",25.62,8,205
"5176","EXETER-WEST GREENWICH","Rhode Island",33709000,5,4400360,"KENT COUNTY",152,11.65,1771
"5177","EXIRA COMM SCHOOL DISTRICT","Iowa",4072000,1,1911250,"AUDUBON COUNTY",13.95,17.56,245
"5178","EXPLORATIONS DISTRICT","Connecticut",1133000,1,900018,"LITCHFIELD COUNTY",7.8,9.49,74
"5179","EXPLORE CHARTER SCHOOL","New York",NA,1,3600157,"KINGS COUNTY",47.01,10.59,498
"5180","EXPLORE EMPOWER CHARTER SCHOOL","New York",NA,1,3600994,"KINGS COUNTY",24,12.46,299
"5181","EXPLORE EXCEL CHARTER SCHOOL","New York",NA,1,3601052,"KINGS COUNTY",20,12.2,244
"5182","EXPLORIS MIDDLE SCHOOL","North Carolina",1622000,1,3700043,"WAKE COUNTY",16.5,12.24,202
"5183","EZZELL ISD","Texas",1113000,2,4818890,"LAVACA COUNTY",7.42,8.76,65
"5184","FABENS ISD","Texas",25733000,5,4818900,"EL PASO COUNTY",173.94,13.94,2424
"5185","FABIUS-POMPEY CENTRAL SCHOOL DISTRICT","New York",16793000,2,3610860,"ONONDAGA COUNTY",73.24,10.38,760
"5186","FACE TO FACE ACADEMY","Minnesota",1025000,1,2700157,"RAMSEY COUNTY",5.67,11.99,68
"5187","FAHARI ACADEMY CHARTER SCHOOL","New York",NA,1,3600999,"KINGS COUNTY",15,17,255
"5188","FAIR GROVE R-X","Missouri",9447000,3,2911700,"GREENE COUNTY",75.93,14.65,1112
"5189","FAIR HAVEN SCHOOL DISTRICT","New Jersey",14498000,2,3404950,"MONMOUTH COUNTY",76.8,11.97,919
"5190","FAIR HAVEN SCHOOL DISTRICT","Vermont",5057000,1,5003870,"RUTLAND COUNTY",31.5,10.54,332
"5191","FAIR HAVEN UHSD #16","Vermont",7913000,1,5003900,"RUTLAND COUNTY",43.9,9.13,401
"5192","FAIR LAWN PUBLIC SCHOOLS","New Jersey",91467000,9,3404980,"BERGEN COUNTY",368.6,12.44,4586
"5193","FAIR PLAY R-II","Missouri",3809000,2,2911730,"POLK COUNTY",30.67,12.88,395
"5194","FAIR-MONT-EGAN ELEM","Montana",1765000,2,3010230,"FLATHEAD COUNTY",13.32,12.69,169
"5195","FAIRBANKS LOCAL","Ohio",12696000,3,3905032,"UNION COUNTY",54.87,17.84,979
"5196","FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT","Alaska",240804000,35,200600,"FAIRBANKS NORTH STAR BOROUGH",845.19,16.99,14360
"5197","FAIRBORN CITY","Ohio",49729000,4,3904396,"GREENE COUNTY",253.46,17.41,4413
"5198","FAIRBORN DIGITAL ACADEMY","Ohio",980000,1,3900155,"GREENE COUNTY",7.3,18.36,134
"5199","FAIRBURY PUBLIC SCHOOLS","Nebraska",11517000,4,3170440,"JEFFERSON COUNTY",72.21,13.41,968
"5200","FAIRFAX CO PBLC SCHS","Virginia",2398065000,209,5101260,"FAIRFAX COUNTY",13877.95,12.8,177606
"5201","FAIRFAX ELEMENTARY","California",20864000,3,613290,"KERN COUNTY",100,22.9,2290
"5202","FAIRFAX R-III","Missouri",1934000,2,2911760,"ATCHISON COUNTY",22.61,7.03,159
"5203","FAIRFAX SCHOOL DISTRICT","Vermont",11193000,2,5003930,"FRANKLIN COUNTY",76.4,10.29,786
"5204","FAIRFAX-FALLS CHURCH COMM SVCS BD","Virginia",NA,NA,5100105,"FAIRFAX COUNTY",0,NA,NA
"5205","FAIRFIELD","Kansas",4803000,1,2008310,"RENO COUNTY",40.6,7.61,309
"5206","FAIRFIELD 01","South Carolina",47075000,8,4502100,"FAIRFIELD COUNTY",268.5,11.58,3108
"5207","FAIRFIELD AREA SD","Pennsylvania",16220000,3,4209540,"ADAMS COUNTY",79.77,14.6,1165
"5208","FAIRFIELD CITY","Ohio",86497000,9,3904610,"BUTLER COUNTY",511.39,19.16,9796
"5209","FAIRFIELD CITY","Alabama",18072000,7,101440,"JEFFERSON COUNTY",119,15.57,1853
"5210","FAIRFIELD COMM H S DIST 225","Illinois",5176000,1,1726180,"WAYNE COUNTY",24,17.54,421
"5211","FAIRFIELD COMM SCHOOL DISTRICT","Iowa",22093000,5,1911340,"JEFFERSON COUNTY",122.8,13.97,1716
"5212","FAIRFIELD COMMUNITY SCHOOLS","Indiana",21459000,4,1803480,"ELKHART COUNTY",123.18,16.91,2083
"5213","FAIRFIELD COUNTY ESC","Ohio",8681000,NA,3904683,"FAIRFIELD COUNTY",24.5,0,0
"5214","FAIRFIELD ELEM","Montana",2014000,2,3010140,"TETON COUNTY",13.5,14.81,200
"5215","FAIRFIELD H S","Montana",2230000,1,3010170,"TETON COUNTY",11.85,9.7,115
"5216","FAIRFIELD ISD","Texas",33790000,5,4818940,"FREESTONE COUNTY",146.5,12.13,1777
"5217","FAIRFIELD LOCAL","Ohio",8735000,3,3904762,"HIGHLAND COUNTY",48,18.48,887
"5218","FAIRFIELD PSD 112","Illinois",11242000,2,1714710,"WAYNE COUNTY",43,16.65,716
"5219","FAIRFIELD PUBLIC SCHOOLS","New Jersey",11335000,2,3405010,"ESSEX COUNTY",53.2,12.95,689
"5220","FAIRFIELD SCHOOL DISTRICT","Vermont",5249000,1,5003960,"FRANKLIN COUNTY",24.7,14.05,347
"5221","FAIRFIELD SCHOOL DISTRICT","Connecticut",197148000,17,901530,"FAIRFIELD COUNTY",801.65,12.87,10314
"5222","FAIRFIELD TOWNSHIP SCHOOL DISTRICT","New Jersey",9648000,1,3405040,"CUMBERLAND COUNTY",56,10.88,609
"5223","FAIRFIELD UNION LOCAL","Ohio",23292000,4,3904687,"FAIRFIELD COUNTY",102.11,19.54,1995
"5224","FAIRFIELD-SUISUN UNIFIED","California",184949000,29,613360,"SOLANO COUNTY",833.6,25.88,21577
"5225","FAIRHAVEN","Massachusetts",28058000,5,2504800,"BRISTOL COUNTY",149.07,13.17,1963
"5226","FAIRLAND","Oklahoma",4877000,3,4011250,"OTTAWA COUNTY",36.5,15.81,577
"5227","FAIRLAND LOCAL","Ohio",16889000,4,3904793,"LAWRENCE COUNTY",97,18.15,1761
"5228","FAIRLAWN LOCAL","Ohio",6541000,2,3904977,"SHELBY COUNTY",30.85,20.78,641
"5229","FAIRLESS LOCAL","Ohio",18436000,3,3904984,"STARK COUNTY",91.12,17.19,1566
"5230","FAIRMONT AREA SCHOOL DISTRICT","Minnesota",21685000,2,2700124,"MARTIN COUNTY",100.11,18.01,1803
"5231","FAIRMONT SD 89","Illinois",4959000,1,1714760,"WILL COUNTY",20.11,14.47,291
"5232","FAIRMOUNT 18","North Dakota",1766000,2,3806690,"RICHLAND COUNTY",13.75,8.44,116
"5233","FAIRPORT CENTRAL SCHOOL DISTRICT","New York",109604000,8,3610890,"MONROE COUNTY",496,12.93,6413
"5234","FAIRPORT HARBOR EXEMPTED VILLAGE","Ohio",5558000,2,3904536,"LAKE COUNTY",28.9,17.58,508
"5235","FAIRVIEW","Oklahoma",6599000,3,4011280,"MAJOR COUNTY",46.2,13.9,642
"5236","FAIRVIEW AREA SCHOOL DISTRICT","Michigan",3634000,2,2610560,"OSCODA COUNTY",18.15,17.36,315
"5237","FAIRVIEW ELEM","Montana",2678000,2,3010210,"RICHLAND COUNTY",13.54,12.78,173
"5238","FAIRVIEW H S","Montana",2385000,1,3010290,"RICHLAND COUNTY",10.79,9.55,103
"5239","FAIRVIEW INDEPENDENT","Kentucky",7614000,2,2101800,"BOYD COUNTY",50.7,17.4,882
"5240","FAIRVIEW PARK CITY","Ohio",24920000,4,3904397,"CUYAHOGA COUNTY",102.08,17.21,1757
"5241","FAIRVIEW PUBLIC SCHOOLS","New Jersey",22670000,3,3405070,"BERGEN COUNTY",71.5,16.74,1197
"5242","FAIRVIEW R-XI","Missouri",6123000,1,2911850,"HOWELL COUNTY",39.97,13.08,523
"5243","FAIRVIEW SD","Pennsylvania",21680000,3,4209570,"ERIE COUNTY",101.8,15.57,1585
"5244","FAIRVIEW SD 72","Illinois",13460000,1,1714820,"COOK COUNTY",52.6,12.47,656
"5245","FAITH FAMILY ACADEMY OF OAK CLIFF","Texas",16785000,3,4800094,"DALLAS COUNTY",108.86,16.14,1757
"5246","FAITH SCHOOL DISTRICT 46-2","South Dakota",2566000,5,4622940,"MEADE COUNTY",17.71,11.74,208
"5247","FALCON ACADEMY OF CREATIVE ARTS","Ohio",1215000,1,3901361,"PORTAGE COUNTY",0,NA,158
"5248","FALCON RIDGE CHARTER SCHOOL","Idaho",1383000,1,1600008,"ADA COUNTY",12.5,21.36,267
"5249","FALCON SCHOOL DISTRICT NO. 49 IN THE COUNTY OF EL PASO AND","Colorado",123805000,21,803870,"EL PASO COUNTY",784.24,19.21,15063
"5250","FALCONER CENTRAL SCHOOL DISTRICT","New York",18730000,3,3610920,"CHAUTAUQUA COUNTY",108.04,11.74,1268
"5251","FALL CREEK ACADEMY","Indiana",3943000,1,1800017,"MARION COUNTY",6.6,55.15,364
"5252","FALL CREEK SCHOOL DISTRICT","Wisconsin",9994000,3,5504500,"EAU CLAIRE COUNTY",56.83,14.94,849
"5253","FALL MOUNTAIN REGIONAL SAU OFFICE","New Hampshire",NA,NA,3399960,"SULLIVAN COUNTY",0,NA,NA
"5254","FALL MOUNTAIN REGIONAL SCHOOL DISTRICT","New Hampshire",27048000,12,3302990,"SULLIVAN COUNTY",141.9,11.62,1649
"5255","FALL RIVER","Massachusetts",168629000,17,2504830,"BRISTOL COUNTY",720.3,13.65,9834
"5256","FALL RIVER JOINT UNIFIED","California",13499000,11,613470,"SHASTA COUNTY",69.84,16.35,1142
"5257","FALL RIVER SCHOOL DISTRICT","Wisconsin",6403000,2,5504530,"COLUMBIA COUNTY",35.1,14.84,521
"5258","FALLBROOK COLLEGE PREPARATORY ACADEMY","Texas",NA,1,4801426,"HARRIS COUNTY",NA,NA,NA
"5259","FALLBROOK UNION ELEMENTARY","California",56446000,9,613500,"SAN DIEGO COUNTY",216,26.93,5816
"5260","FALLBROOK UNION HIGH","California",32161000,3,613530,"SAN DIEGO COUNTY",124.1,23.1,2867
"5261","FALLON","Montana",NA,NA,3000026,"FALLON COUNTY",NA,NA,NA
"5262","FALLS CHURCH CITY PBLC SCHS","Virginia",36503000,4,5101290,"FALLS CHURCH CITY",167.62,13.02,2183
"5263","FALLS CITY ISD","Texas",4092000,5,4819020,"KARNES COUNTY",26.3,13.95,367
"5264","FALLS CITY PUBLIC SCHOOLS","Nebraska",11061000,4,3170530,"RICHARDSON COUNTY",67.74,12.86,871
"5265","FALLS CITY SD 57","Oregon",2444000,2,4100003,"POLK COUNTY",9.48,15.82,150
"5266","FALLSBURG CENTRAL SCHOOL DISTRICT","New York",37084000,2,3610950,"SULLIVAN COUNTY",121.12,11.79,1428
"5267","FALMOUTH","Massachusetts",64733000,7,2504860,"BARNSTABLE COUNTY",286.47,12.26,3512
"5268","FALMOUTH PUBLIC SCHOOLS","Maine",30380000,3,2305670,"CUMBERLAND COUNTY",171.03,12.55,2146
"5269","FAMILY FOUNDATIONS ACADEMY","Delaware",7512000,1,1000024,"NEW CASTLE COUNTY",41,18.32,751
"5270","FAMILY LIFE ACADEMY CHARTER SCHOOL I","New York",NA,1,3600066,"BRONX COUNTY",27,16.04,433
"5271","FAMU LAB SCH","Florida",NA,1,1202014,"LEON COUNTY",42,12.76,536
"5272","FANNETT-METAL SD","Pennsylvania",7195000,3,4209660,"FRANKLIN COUNTY",41,13.22,542
"5273","FANNIN COUNTY","Georgia",35656000,5,1302100,"FANNIN COUNTY",207.2,14.61,3028
"5274","FANNINDEL ISD","Texas",2409000,2,4819050,"FANNIN COUNTY",18.54,10.57,196
"5275","FANSHAWE","Oklahoma",642000,1,4011400,"LE FLORE COUNTY",5,13.2,66
"5276","FARGO","Oklahoma",3162000,2,4011430,"ELLIS COUNTY",19.4,10.46,203
"5277","FARGO 1","North Dakota",145704000,22,3806780,"CASS COUNTY",808.12,13.31,10755
"5278","FARGO SPECIAL ED UNIT","North Dakota",NA,1,3880410,"CASS COUNTY",0,NA,NA
"5279","FARIBAULT PUBLIC SCHOOL DISTRICT","Minnesota",50311000,13,2711760,"RICE COUNTY",259.33,15.43,4002
"5280","FARMERSVILLE ISD","Texas",13611000,5,4819080,"COLLIN COUNTY",100.97,14.34,1448
"5281","FARMERSVILLE UNIFIED","California",35956000,6,600035,"TULARE COUNTY",119.93,21.7,2602
"5282","FARMINGDALE BOARD OF EDUCATION","New Jersey",2581000,1,3405130,"MONMOUTH COUNTY",17.3,8.79,152
"5283","FARMINGDALE UNION FREE SCHOOL DISTRICT","New York",149971000,6,3610980,"NASSAU COUNTY",480.1,12.52,6010
"5284","FARMINGTON CENTRAL CUSD 265","Illinois",15645000,3,1700044,"PEORIA COUNTY",92,16.07,1478
"5285","FARMINGTON MUNICIPAL SCHOOLS","New Mexico",96049000,18,3500990,"SAN JUAN COUNTY",666.8,16.09,10727
"5286","FARMINGTON PUBLIC SCHOOL DISTRICT","Minnesota",84711000,9,2711820,"DAKOTA COUNTY",387.81,17.35,6728
"5287","FARMINGTON PUBLIC SCHOOL DISTRICT","Michigan",157403000,19,2614070,"OAKLAND COUNTY",674.26,16.74,11288
"5288","FARMINGTON R-VII","Missouri",35682000,10,2911910,"ST. FRANCOIS COUNTY",243.98,16.18,3948
"5289","FARMINGTON RIVER REG","Massachusetts",4935000,1,2513321,"BERKSHIRE COUNTY",12.49,12.41,155
"5290","FARMINGTON SAU OFFICE","New Hampshire",NA,NA,3300009,"STRAFFORD COUNTY",0,NA,NA
"5291","FARMINGTON SCHOOL DISTRICT","New Hampshire",17950000,3,3303000,"STRAFFORD COUNTY",107,10.21,1093
"5292","FARMINGTON SCHOOL DISTRICT","Connecticut",70919000,8,901560,"HARTFORD COUNTY",306.1,13.22,4048
"5293","FARMINGTON SCHOOL DISTRICT","Arkansas",21401000,5,506090,"WASHINGTON COUNTY",155.13,14.27,2214
"5294","FARRAGUT COMM SCHOOL DISTRICT","Iowa",3583000,2,1911520,"FREMONT COUNTY",22.3,10.72,239
"5295","FARRELL AREA SD","Pennsylvania",15756000,2,4209690,"MERCER COUNTY",74,11.57,856
"5296","FARRINGTON CCSD 99","Illinois",606000,1,1714940,"JEFFERSON COUNTY",4.68,13.46,63
"5297","FARRIS","Oklahoma",761000,1,4011450,"ATOKA COUNTY",7.4,9.73,72
"5298","FARWELL AREA SCHOOLS","Michigan",13527000,5,2614100,"CLARE COUNTY",79.6,18.17,1446
"5299","FARWELL ISD","Texas",6268000,3,4819110,"PARMER COUNTY",50.8,11.44,581
"5300","FAST FORWARD HIGH","Utah",2227000,1,4900019,"CACHE COUNTY",12.58,17.97,226
"5301","FATHER PURCELL CENTER","Alabama",NA,NA,100186,"MONTGOMERY COUNTY",0,NA,NA
"5302","FATHER WALTERS CTR","Alabama",NA,NA,100187,"MONTGOMERY COUNTY",0,NA,NA
"5303","FAU LAB SCH","Florida",NA,2,1202012,"PALM BEACH COUNTY",168.62,12.7,2142
"5304","FAULKTON AREA SCHOOLS 24-4","South Dakota",2936000,7,4624030,"FAULK COUNTY",28.75,10.92,314
"5305","FAUQUIER CO PBLC SCHS","Virginia",124775000,20,5101320,"FAUQUIER COUNTY",853.71,13.17,11244
"5306","FAYETTE COUNTY","Tennessee",33426000,10,4701170,"FAYETTE COUNTY",241.6,15.86,3832
"5307","FAYETTE COUNTY","Georgia",214938000,28,1302130,"FAYETTE COUNTY",1462,14.05,20539
"5308","FAYETTE COUNTY","Alabama",22019000,6,101470,"FAYETTE COUNTY",165.5,14.74,2439
"5309","FAYETTE COUNTY","Kentucky",443314000,73,2101860,"FAYETTE COUNTY",2742.02,14.09,38641
"5310","FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE","Pennsylvania",4761000,1,4280560,"FAYETTE COUNTY",19,0,0
"5311","FAYETTE COUNTY SCHOOL CORP","Indiana",48353000,10,1803510,"FAYETTE COUNTY",238.65,17.01,4059
"5312","FAYETTE COUNTY SCHOOLS","West Virginia",91378000,20,5400300,"FAYETTE COUNTY",506.5,13.57,6874
"5313","FAYETTE LOCAL","Ohio",5457000,2,3904706,"FULTON COUNTY",37.25,11.65,434
"5314","FAYETTE PUBLIC SCHOOLS","Maine",1750000,1,2300008,"KENNEBEC COUNTY",4.3,34.42,148
